               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.020886,            0.008955,                   0,             0.33268,             0.33333,             0.30091,             0.11288,            0.051781,           0.0081404,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.021451,           0.0086477,                   0,             0.24991,             0.52381,             0.28995,             0.12263,            0.050081,           0.0088599,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.020165,           0.0091456,                   0,             0.23416,             0.47619,              0.1805,            0.084969,            0.051424,           0.0095438,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.020308,           0.0089493,                   0,             0.21683,             0.47619,             0.14998,            0.067337,            0.051383,           0.0094093,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.020869,           0.0086649,                   0,             0.36299,             0.42857,             0.27033,             0.11513,            0.049714,            0.007524,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.020016,           0.0088331,                   0,             0.29038,             0.38095,             0.22221,             0.10562,            0.050268,           0.0078212,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.020797,           0.0084153,                   0,             0.27942,             0.38095,              0.1894,            0.090751,            0.055068,            0.008273,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.020455,           0.0088598,                   0,             0.27957,             0.52381,             0.26612,             0.13829,            0.048724,           0.0079476,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.020718,           0.0084099,                   0,             0.23734,             0.61905,             0.24798,             0.12797,            0.050617,            0.008186,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.019857,            0.008097,                   0,             0.26226,             0.42857,             0.19261,            0.083953,            0.050922,           0.0086683,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.019694,           0.0088212,                   0,             0.30502,             0.42857,             0.28346,             0.12511,            0.050373,           0.0087117,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.019098,           0.0086339,                   0,             0.24748,             0.61905,             0.32051,             0.16944,            0.050029,            0.008264,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.018726,           0.0082188,                   0,             0.36986,             0.44765,             0.32209,             0.16103,            0.047911,            0.007441,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.018992,           0.0083799,                   0,             0.28682,             0.66667,              0.3391,             0.18014,            0.048152,           0.0071965,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.018069,           0.0079423,                   0,              0.2915,             0.57143,             0.31291,             0.15476,             0.04904,           0.0073802,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.018582,           0.0082264,                   0,             0.29594,             0.71429,             0.33853,             0.15272,            0.048833,           0.0075355,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.019208,           0.0078358,                   0,             0.25718,             0.66667,             0.26336,             0.11236,            0.048826,           0.0077407,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.017824,           0.0084813,                   0,              0.2473,             0.66667,             0.25155,             0.10673,            0.049446,           0.0078965,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.017888,           0.0082418,                   0,             0.23892,             0.66667,             0.22744,            0.091841,            0.049794,           0.0083915,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.01782,           0.0075133,                   0,             0.22074,             0.66667,             0.23554,             0.10325,            0.049252,           0.0084431,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.018005,           0.0082432,                   0,             0.29704,             0.44299,             0.24781,             0.10445,            0.050674,           0.0084174,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.017635,           0.0086812,                   0,             0.29746,             0.42857,             0.25097,             0.10302,            0.050953,           0.0085486,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.017835,           0.0078448,                   0,             0.28532,             0.47619,             0.24495,             0.10099,            0.050633,           0.0087787,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.017214,           0.0078118,                   0,              0.2788,             0.47619,              0.2504,             0.10195,            0.049945,           0.0089566,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.01789,           0.0084226,                   0,             0.33956,             0.47619,             0.25403,             0.10191,            0.049211,           0.0086796,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.016846,           0.0076597,                   0,             0.31008,             0.44984,             0.26411,             0.11547,            0.048521,           0.0086035,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.016823,           0.0077012,                   0,             0.23884,             0.66667,             0.23694,              0.1001,            0.048547,           0.0088527,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.018237,           0.0079315,                   0,             0.23413,             0.61905,             0.23474,             0.10243,            0.048744,           0.0087837,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.016338,            0.008042,                   0,             0.30238,             0.42857,             0.23731,             0.10327,            0.049283,           0.0085872,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.017141,           0.0072401,                   0,             0.30088,             0.42857,             0.23008,             0.10114,             0.04962,           0.0087773,                   0,            0.000397,            0.000397,            0.000397
                  99,             0.01683,           0.0074003,                   0,              0.2901,             0.42857,             0.22934,            0.099071,            0.050438,           0.0089697,                   0,            0.000298,            0.000298,            0.000298
